num_transactions,unique_tokens,total_amount,avg_value,recent_txn_days,wallet
3,0,1.4131627335000001e-08,4.710542445000001e-09,1719,0x70c1864282599a762c674dd9d567b37e13bce755
100,0,2982.181825949221,29.82181825949221,914,0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e
3,0,1.411256289e-08,4.70418763e-09,1707,0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f
3,0,1.413387482e-08,4.7112916066666666e-09,1721,0x767055590c73b7d2aaa6219da13807c493f91a20
7,0,5260.185472255645,751.4550674650922,1769,0x7851bdfb64bbecfb40c030d722a1f147dff5db6a
7,0,0.4233887141292696,0.06048410201846709,1619,0x7b4636320daa0bc055368a4f9b9d01bd8ac51877
5,0,7.1598816e-11,1.4319763200000001e-11,1721,0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957
3,0,6.447631e-11,2.149210333333333e-11,1721,0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e
3,0,1.4138258477e-08,4.712752825666667e-09,1724,0x7de76a449cf60ea3e111ff18b28e516d89532152
10,0,2574.63642267149,257.463642267149,1905,0x7e3eab408b9c76a13305ef34606f17c16f7b33cc
3,0,1.4079785549e-08,4.693261849666666e-09,1686,0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47
4,0,7.077761364137651,1.7694403410344128,1718,0x83ea74c67d393c6894c34c464657bda2183a2f1a
10,0,328.1538559702069,32.81538559702069,289,0x8441fecef5cc6f697be2c4fc4a36feacede8df67
3,0,1.4118884860000001e-08,4.706294953333333e-09,1710,0x854a873b8f9bfac36a5eb9c648e285a095a7478d
3,0,1.4125775922e-08,4.708591974e-09,1714,0x8587d9f794f06d976c2ec1cfd523983b856f5ca9
10,0,0.19243018835106535,0.019243018835106533,1725,0x880a0af12da55df1197f41697c1a1b61670ed410
3,0,1.4159406453e-08,4.719802151e-09,1745,0x8aaece100580b749a20f8ce30338c4e0770b65ed
11,0,0.11216343949655191,0.010196676317868357,613,0x8be38ea2b22b706aef313c2de81f7d179024dd30
11,0,1724.8850393528246,156.80773085025677,1654,0x8d900f213db5205c529aaba5d10e71a0ed2646db
3,0,1.4127324021e-08,4.709108007e-09,1715,0x91919344c1dad09772d19ad8ad4f1bcd29c51f27
4,0,1.41652922e-08,3.54132305e-09,1739,0x93f0891bf71d8abed78e0de0885bd26355bb8b1d
100,0,1813144.628445303,18131.44628445303,1268,0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6
2,0,7.718385500000001e-11,3.8591927500000004e-11,1701,0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8
